"PARK_ID","TYPE","SUMMER_USE","LIGHTS","NAME","ADDRESS"
"581","Highboard","","","ROY G HOBBES COMMUNITY CENTRE AND PARK","109 LARCH CRES Cumberland"
"343","Highboard with puddle","","","QUEENSWOOD HEIGHTS CENTENNIAL PARK AND COMMUNITY CENTRE","1485 DUFORD DR Cumberland"
"326","Highboard with puddle","","","CHAPEL HILL PARK","1556 FOREST VALLEY DR Gloucester"
"697","Puddle rink","","","GERALD POULIN PARK","1899 DU CLAIRVAUX RD Gloucester"
"108","Puddle rink","","","JOE JAMIESON PARK","6940 BILBERRY DR Gloucester"
"591","Highboard with puddle","basketball","permanent","MARSHA PARK","855 LAWNSBERRY DR Cumberland"
"701","Highboard with puddle","","","ROY PARK","6210 MEADOWGLEN DR Gloucester"
"321","Puddle rink","","","DELORME PARK","6591 DELORME AVE Gloucester"
"1005","Highboard with puddle","","","ST. FRANCOIS PARK","1855 SIMARD DR Gloucester"
"67","Highboard with puddle","ball hockey","permanent","BARRINGTON PARK","1705 ORLEANS BLVD Gloucester"
"1053","Puddle rink","","","PIERRE ROCQUE PARK","1257 JOSEPH DROUIN AVE Gloucester"
"460","Puddle rink","","","GLEN PARK","1766 GREY NUNS DR Gloucester"
"386","Highboard with puddle","basketball","permanent","FALLINGBROOK PARK","681 DEANCOURT CRES Cumberland"
"501","Puddle rink (end boards)","","","LOUIS PERRAULT PARK","6250 BEAUSEJOUR DR Gloucester"
"1050","Highboard","ball hockey","permanent","JEANNE D'ARC PARK","1155 ST. MORITZ CRT Gloucester"
"1076","Puddle rink","","","MARCEL BERIAULT PARK","1691 SUNVIEW DR Gloucester"
"1323","Puddle rink (end boards)","","","LONGLEAF PARK","5831 GLADEWOODS PL Gloucester"
"1004","Highboard with puddle","","","SILVERBIRCH PARK","6105 SILVERBIRCH ST Gloucester"
"474","Double Surface(no boards)","","","HEATHERINGTON PARK","1560 HEATHERINGTON RD Old Ottawa"
"806","Highboard with puddle","other","permanent","MCCARTHY PARK","3320 PAUL ANKA DR Old Ottawa"
"522","Highboard with puddle","","","JACK PURCELL PARK","320 JACK PURCELL LANE Old Ottawa"
"307","Highboard with puddle","","","SAWMILL CREEK POOL PARK","3380 D'AOUST AVE Gloucester"
"903","Highboard","basketball","permanent","MARCH CENTRAL COMMUNITY CENTER","1030 RIDDELL DR Kanata"
"273","Highboard","ball hockey","permanent","NORTH GOWER RA / ALFRED TAYLOR RECREATION FACILITY","2300 COMMUNITY WAY Rideau"
"889","Highboard","","permanent","CARSONBY (HARRY CRAIG CENTRE)","6047 PRINCE OF WALES DR Rideau"
"407","Highboard","ball hockey","permanent","ASHTON COMMUNITY PARK (CAVANAGH COMMUNITY CENTRE PARK)","8930 FLEWELLYN RD Goulbourn"
"1133","Highboard","basketball","permanent","FITZROY HARBOUR COMMUNITY CENTRE AND CAMPBELL BICENTENNIALPARK","100 CLIFFORD CAMPBELL ST West Carleton"
"1102","Highboard","","permanent","DUNROBIN COMMUNITY CENTRE","1145 THOMAS A. DOLAN PKWY West Carleton"
"541","Highboard","basketball","permanent","HUNTLEY COMMUNITY CENTRE","108 JUANITA AVE West Carleton"
"558","Highboard","ball hockey","permanent","KINBURN COMMUNITY CENTRE","3045 KINBURN SIDE RD West Carleton"
"310","Highboard","","permanent","GALETTA COMMUNITY CENTRE","119 DARWIN ST West Carleton"
"970","Highboard","other","permanent","YVES CHENIER PARK","3585 SARSFIELD RD Cumberland"
"519","Double Surface(no boards)","","","IONA PARK","223 IONA ST Old Ottawa"
"653","Highboard","basketball","permanent","OSGOODE COMMUNITY CENTRE","5660 OSGOODE MAIN ST Osgoode"
